Row,2020,2030,2040,2050
Imports,375076541.9108227,201866875.67476046,136424115.39079177,137135094.54493797
Exports,-419432047.18799007,-522116281.36371946,-168923603.65134093,-84646017.96363263
Transfer capacity payment,-373387622.79020137,-388085005.1788421,-200387933.69303587,-114114918.1102493
