Month,Switzerland,Germany,Italy,France,Austria
1,69.27393519356968,88.8389552550607,66.3548732698945,41.040814360987206,78.99454858951435
2,60.835064321307925,76.31477290474125,59.92871862822228,31.799063801966046,53.393715267903154
3,30.23673181719709,36.604719557596724,30.387108421737707,20.15505699030186,29.475726287245717
4,14.5049414323982,15.33243924070494,15.001392413997046,14.156755962344485,12.44496496465271
5,11.060161020755992,10.97555543117314,12.14311532636736,11.814416494429857,10.650116972309144
6,10.925179246797333,10.64977652576066,12.693728764418365,12.361940401992026,11.22269747689981
7,10.942021592158993,11.56286522037065,13.043668193069268,11.493055888236276,11.368952202521507
8,13.778574535689097,13.570945472882997,15.659928775532372,13.951007489232136,13.0281033931028
9,21.34750581373367,21.040664142241777,22.929958021976088,19.855324758367114,21.40160392927741
10,41.546897862596865,54.75430018399163,42.672438133648285,24.21090691129656,50.43161773490021
11,58.90794038690987,64.40130253552505,59.312350731043495,34.24608170825614,67.79277819948511
12,69.79717537395695,106.27056992402515,61.636350137177054,29.9539857376179,94.37842442639902
