Hour,idProfile,idProfile_eMobility,idProfile_eHeatPump,idProfile_eHydrogen
301,5453.0,1777.6619999999998,1398.16,335.04
302,5405.01,1936.394,1390.06,335.04
303,5311.98,1805.6170000000002,1394.52,335.04
304,5407.039999999999,1648.748,1411.6599999999999,335.04
305,5861.02,1825.035,1421.9700000000003,335.04
306,6039.99,2358.611,1448.2599999999998,335.04
307,5855.0599999999995,2919.868,1491.4499999999998,335.04
308,5561.99,3092.1609999999996,1503.8,335.04
309,5360.01,2609.261,1489.93,335.04
310,5422.030000000001,2017.163,1456.7,335.04
311,5374.02,1630.1259999999997,1428.98,335.04
312,5201.019999999999,1311.494,1400.0,335.04
313,5621.08,967.7039999999998,1385.1399999999999,335.04
314,5772.039999999999,690.9269999999999,1371.9,335.04
315,5723.01,496.58799999999997,1361.77,335.04
316,5579.959999999999,359.611,1358.13,335.04
317,5261.02,297.943,1366.37,335.04
318,5175.130000000001,449.675,1393.4299999999998,335.04
319,5065.01,1186.5279999999998,1434.88,335.04
320,5056.040000000001,2033.3539999999998,1464.2599999999998,335.04
321,5358.04,2292.7380000000003,1476.48,335.04
322,5581.039999999999,2073.839,1468.43,335.04
323,5467.01,1767.8870000000002,1475.2599999999998,335.04
324,5427.96,1712.538,1491.47,335.04
325,5515.01,1810.36,1502.4299999999998,335.04
326,5483.02,1923.2759999999998,1518.3300000000002,335.04
327,5481.039999999999,1782.0729999999999,1534.19,335.04
328,5359.0,1686.118,1550.5700000000002,335.04
329,5687.01,2033.036,1563.9199999999998,335.04
330,5895.07,2747.425,1573.7800000000002,335.04
331,5761.02,3229.6669999999995,1586.23,335.04
332,5513.0,3226.9310000000005,1590.17,335.04
333,5300.0,2619.5290000000005,1587.98,335.04
334,5332.01,2001.2640000000001,1584.56,335.04
335,5289.040000000001,1637.626,1585.6499999999999,335.04
336,5658.04,1344.442,1583.08,335.04
337,6060.01,1178.84,1586.04,335.04
338,6079.959999999999,959.6679999999999,1587.1,335.04
339,6035.049999999999,671.5129999999999,1592.63,335.04
340,5945.02,485.39,1600.56,335.04
341,6037.01,344.31899999999996,1610.48,335.04
342,5835.040000000001,302.324,1619.41,335.04
343,6572.04,404.673,1627.68,335.04
344,6976.01,669.6479999999999,1635.78,335.04
345,7018.0,1041.2869999999998,1645.17,335.04
346,6984.05,1347.9180000000001,1651.2,335.04
347,6919.0,1818.2739999999997,1658.3300000000002,335.04
348,6648.92,1862.7930000000001,1671.98,335.04
349,6677.030000000001,1751.5320000000002,1689.2300000000002,335.04
350,6643.959999999999,1681.967,1709.2999999999997,335.04
351,6563.0,1896.152,1732.9699999999998,335.04
352,6541.01,2015.4399999999998,1767.38,335.04
353,6708.01,2198.203,1818.78,335.04
354,6727.03,2373.757,1869.7400000000002,335.04
355,6435.049999999999,2444.613,1905.5500000000002,335.04
356,6038.01,2253.9359999999997,1940.49,335.04
357,5708.01,1836.5829999999999,1958.31,335.04
358,5634.0,1422.4879999999998,1987.56,335.04
359,5443.01,1210.739,2019.33,335.04
360,5413.0,1173.22,2049.45,335.04
361,5629.02,1081.5079999999998,2080.65,335.04
362,5706.01,951.207,2108.9,335.04
