Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20598830664779838,-1.4230251378674441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.889352315497528,1.3211088092563792,0.0,0.0,0.0,5.820123355742645e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259329106846843,0.0,0.0,0.0,3.051701365787585,0.5020801638116071,-1.19097687032685e-05,0.2238754757515091,0.0,0.416719814163053,-5.694636867309933,4.292726701952128,-1.4019101653578054,2.317457713202518,8.045207999999999
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12669555340642438,-0.5580716302154347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.924775009943979,1.3211088277630267,0.0,0.0,0.0,5.828689782154691e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.681949093400597,0.0,0.0,0.0,2.9684292479700862,0.5743437875035943,-1.13904792814367e-05,0.2238756694585056,0.0,0.9567298383914787,-5.812589350038046,3.109039485649841,-2.7035498643882043,1.9091658202378385,8.516274000000001
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23260405105843268,-0.17384197148687236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7695512668561713,1.3211088375136397,0.0,0.0,0.0,5.835046677226093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.758349444391672,0.0,0.0,0.0,3.5816449283093337,0.49469082852320617,-1.14154966596155e-05,0.22387578962562948,0.0,0.6750098102120572,-6.027696415013648,3.036567990302241,-2.991128424711407,1.8768488170869377,8.891853000000001
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002737066681842729,-1.6408523654651743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539314831666766,1.3211087442088045,0.0,0.0,0.0,5.829382350131363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5897089807788523,0.0,0.0,0.0,2.8195178733898283,0.4193770839650571,-1.43491297499885e-05,0.22387131387841844,0.0,0.9560696076821864,-5.598709822059038,5.053106538959826,-0.5456032830992117,2.317475538149134,8.682772000000002
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002912008279498824,-1.2470489579137696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54630941072985,1.3211087903115872,0.0,0.0,0.0,5.826645705551049e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062849285655727,0.0,0.0,0.0,2.701840334837089,0.44366211615891976,-1.28341601721899e-05,0.2238732050617488,0.0,0.6220296401369976,-5.875243288385197,5.645078241604666,-0.23016504678053115,3.058017739370187,8.444737000000002
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008977306760187782,-0.199165298697255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.294074648131829,1.3211094447858,0.0,0.0,0.0,5.861099950014476e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1055092560536681,0.0,0.0,0.0,0.8038416199543595,1.1984588738902653,-7.7670328716586e-06,0.22388468246089888,0.0,0.6985797755931044,-7.121179506954904,6.316798680536417,-0.8043808264184872,6.034871348398869,8.642802000000001
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015650576266207004,-0.0004749801348506948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007049774951463,1.321109574966291,0.0,0.0,0.0,5.912072984389703e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05690869566555804,0.0,0.0,0.0,0.0,1.959116286519336,-7.3416063226579e-06,0.22388595713676812,0.0,0.9219894415300433,-6.809425183362717,6.285247291985554,-0.5241778913771632,8.0021518628044,8.981050000000002
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610027659483805,-0.000474758092315714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983580889880866,1.3211095687238685,0.0,0.0,0.0,5.974334234035646e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804821922294158,-7.3370645558324e-06,0.22388605985983037,0.0,0.9553895470697292,-6.740707378285836,6.276501535497499,-0.46420584278833665,8.40537345293027,9.360763
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538449199425601,-0.0004113777541312874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.927579993313532,1.321109556876686,0.0,0.0,0.0,5.953688227235897e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028038983191722,-7.3543648496874995e-06,0.22388612684812492,0.0,0.5714894776883424,-7.0995392926686005,6.3476517739826805,-0.7518875186859204,8.28675752231166,8.858247000000002
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2111189085622636,-0.0003874326765086574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9248962608503835,1.3211095605482805,0.0,0.0,0.0,5.962400338617119e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0253051588129782,-7.3472151980749e-06,0.2238861711707972,0.0,0.5091394771107428,-7.433387204761589,6.303539533937279,-1.1298476708243097,8.576073522889256,9.085213
