Hour,idProfile,idProfile_eMobility,idProfile_eHeatPump,idProfile_eHydrogen
4053,5011.98,1643.9969999999998,25.060000000000002,335.04
4054,4852.08,1270.4850000000001,25.720000000000002,335.04
4055,5107.04,1084.8759999999997,26.01,335.04
4056,5391.07,1062.351,24.01,335.04
4057,5356.039999999999,982.7669999999999,23.83,335.04
4058,5234.0,861.198,24.740000000000002,335.04
4059,5139.99,665.049,25.06,335.04
4060,5203.9400000000005,505.925,25.21,335.04
4061,4905.01,347.75399999999996,24.919999999999998,335.04
4062,5387.01,258.673,23.48,335.04
4063,5766.0,236.087,21.71,335.04
4064,5858.04,337.89599999999996,20.089999999999996,335.04
4065,6013.0,583.202,18.049999999999997,335.04
4066,6214.01,959.0220000000002,16.47,335.04
4067,5883.02,1163.9560000000001,14.700000000000003,335.04
4068,5950.200000000001,1226.9759999999999,13.21,335.04
4069,5921.08,1045.734,11.87,335.04
4070,5830.030000000001,1040.767,11.469999999999999,335.04
4071,5743.01,1239.947,11.559999999999999,335.04
4072,5585.049999999999,1480.5839999999998,12.690000000000001,335.04
4073,5527.030000000001,1662.228,13.91,335.04
4074,5361.99,1988.5810000000001,16.33,335.04
4075,5152.08,2223.5539999999996,16.62,335.04
4076,5105.009999999999,2069.3869999999997,17.54,335.04
4077,5134.0,1824.2779999999998,17.86,335.04
4078,4809.98,1588.5430000000001,17.81,335.04
4079,4553.0,1272.6909999999998,18.580000000000002,335.04
4080,4608.01,972.2839999999999,23.869999999999997,335.04
4081,4632.01,686.799,25.15,335.04
4082,4713.0,514.271,26.68,335.04
4083,4599.0199999999995,365.07000000000005,28.47,335.04
4084,4689.04,290.97200000000004,30.13,335.04
4085,4938.01,250.129,30.72,335.04
4086,5518.0,450.236,30.490000000000002,335.04
4087,5866.0,1289.6510000000003,29.02,335.04
4088,5935.05,2246.589,27.29,335.04
4089,6115.01,2488.418,25.25,335.04
4090,6310.969999999999,2120.559,23.519999999999996,335.04
4091,6025.110000000001,1679.672,21.22,335.04
4092,6130.01,1508.0029999999997,19.63,335.04
4093,6072.039999999999,1589.0730000000003,20.5,335.04
4094,5995.08,1755.443,23.729999999999997,335.04
4095,5887.01,1619.1029999999996,26.819999999999997,335.04
4096,5687.01,1468.531,28.84,335.04
4097,5670.030000000001,1643.88,30.89,335.04
4098,5521.08,2174.9539999999997,32.400000000000006,335.04
4099,5291.07,2724.685,33.37,335.04
4100,5235.97,2895.759,34.33,335.04
4101,5278.96,2453.6890000000003,35.28999999999999,335.04
4102,4919.0,1883.5700000000002,35.86,335.04
4103,4764.03,1509.412,36.96,335.04
4104,4705.0199999999995,1200.692,46.76,335.04
4105,4761.0199999999995,875.6170000000001,47.760000000000005,335.04
4106,4661.990000000001,620.042,49.379999999999995,335.04
4107,4511.98,443.6700000000001,50.88,335.04
4108,4688.02,321.59099999999995,51.21,335.04
4109,5010.969999999999,276.31199999999995,50.19,335.04
4110,5567.009999999998,460.823,47.46,335.04
4111,5984.049999999999,1291.828,43.51,335.04
4112,6150.150000000001,2256.4460000000004,39.41,335.04
4113,6327.96,2535.647,36.370000000000005,335.04
4114,6779.959999999999,2183.666,33.61,335.04
4115,6965.01,1734.4870000000003,31.67,335.04
4116,7029.02,1559.848,30.13,335.04
4117,7057.0,1625.33,30.2,335.04
4118,6906.01,1785.058,31.189999999999998,335.04
4119,6803.94,1646.6549999999997,33.43,335.04
4120,6567.01,1496.953,35.989999999999995,335.04
4121,6406.01,1659.089,39.120000000000005,335.04
4122,6173.01,2172.174,41.709999999999994,335.04
4123,6077.97,2706.8930000000005,45.36,335.04
4124,6158.039999999999,2879.6040000000003,47.59,335.04
4125,5943.01,2432.463,49.61,335.04
4126,5671.0199999999995,1879.436,50.870000000000005,335.04
4127,5577.97,1509.177,51.85,335.04
4128,5607.040000000001,1205.741,78.88,335.04
4129,5559.0,882.552,80.5,335.04
4130,5454.009999999999,624.182,82.03999999999999,335.04
4131,5318.0,446.438,83.12,335.04
4132,5523.99,322.87699999999995,84.58,335.04
4133,5720.04,276.87,84.26,335.04
4134,5967.99,461.562,81.13,335.04
4135,6077.030000000001,1281.9499999999998,77.61,335.04
4136,6459.0,2217.102,73.3,335.04
4137,6907.009999999999,2489.383,69.27,335.04
4138,7179.960000000001,2165.376,64.50999999999999,335.04
4139,6947.92,1737.027,62.0,335.04
4140,7027.959999999999,1560.716,59.62,335.04
4141,6998.05,1628.788,57.400000000000006,335.04
4142,6843.01,1770.066,56.08,335.04
4143,6655.0599999999995,1631.15,57.03,335.04
4144,6522.03,1488.871,59.7,335.04
4145,6407.01,1662.71,63.660000000000004,335.04
4146,6137.01,2171.768,68.59,335.04
4147,6003.9400000000005,2695.4309999999996,72.89999999999999,335.04
4148,5935.969999999999,2856.5750000000003,77.57,335.04
4149,5873.01,2396.51,81.91999999999999,335.04
4150,5635.969999999999,1847.1770000000001,85.12,335.04
4151,5427.030000000001,1486.868,85.98,335.04
4152,5627.96,1192.077,86.16,335.04
4153,5538.99,872.017,87.77,335.04
4154,5334.0,619.2570000000001,89.78,335.04
4155,5125.110000000001,444.938,91.61999999999999,335.04
4156,5013.0,322.25800000000004,92.5,335.04
4157,5122.03,277.083,90.64,335.04
4158,5278.96,460.26399999999995,83.25,335.04
4159,5507.04,1272.186,74.96000000000001,335.04
4160,5671.0199999999995,2193.744,67.5,335.04
4161,5798.049999999999,2451.919,60.300000000000004,335.04
4162,5796.060000000001,2131.917,54.68,335.04
4163,5927.029999999999,1728.4279999999999,49.199999999999996,335.04
4164,5878.960000000001,1566.4479999999999,46.010000000000005,335.04
4165,5815.95,1629.4470000000001,45.49,335.04
4166,5784.05,1764.378,47.07000000000001,335.04
4167,5635.04,1623.077,50.879999999999995,335.04
4168,5377.97,1489.6570000000002,58.63,335.04
4169,5261.02,1653.0709999999997,68.82,335.04
4170,5098.049999999999,2136.0109999999995,77.00999999999999,335.04
4171,5043.01,2632.513,80.75999999999999,335.04
4172,4965.01,2792.7019999999998,84.3,335.04
4173,4657.030000000001,2344.8100000000004,88.58,335.04
4174,4456.04,1809.959,90.58999999999999,335.04
4175,4270.039999999999,1463.1680000000001,92.38,335.04
4176,4343.01,1175.844,140.69,335.04
4177,4315.95,864.1859999999999,145.21,335.04
4178,4493.99,611.2819999999999,149.21,335.04
4179,4465.01,440.16700000000003,151.30999999999997,335.04
4180,4425.099999999999,318.60800000000006,152.03,335.04
4181,4390.099999999999,266.82,147.3,335.04
4182,4418.0,414.341,139.4,335.04
4183,4661.02,1115.313,131.82,335.04
4184,4867.01,1896.584,122.42999999999999,335.04
4185,5065.01,2125.374,111.71,335.04
4186,5211.98,1906.6310000000003,94.06,335.04
4187,5298.05,1618.0149999999999,78.3,335.04
4188,5166.0,1572.3899999999999,70.49000000000001,335.04
4189,5067.01,1652.464,75.6,335.04
4190,5007.040000000001,1741.3,86.89,335.04
4191,4970.02,1605.371,99.66999999999999,335.04
4192,4977.03,1518.5910000000003,115.35,335.04
4193,4443.959999999999,1850.8270000000002,126.45,335.04
4194,4438.99,2524.723,135.07,335.04
4195,4381.04,2949.927,141.01000000000002,335.04
4196,4432.01,2938.124,146.07,335.04
4197,4471.02,2367.004,149.34,335.04
4198,4223.990000000001,1809.5340000000003,151.29999999999998,335.04
4199,4193.99,1481.9850000000001,152.7,335.04
4200,4678.96,1211.978,148.92000000000002,335.04
4201,4637.01,1070.2169999999996,150.7,335.04
4202,4560.01,866.2779999999998,152.19,335.04
4203,4451.119999999999,605.0500000000001,153.58,335.04
4204,4491.99,436.09,154.58,335.04
4205,4583.049999999999,310.94500000000005,153.71,335.04
4206,5261.02,271.533,149.75,335.04
4207,5661.99,373.92,142.94,335.04
4208,5761.02,624.625,134.3,335.04
4209,5916.99,954.337,126.09,335.04
4210,6141.96,1234.512,119.87,335.04
4211,5769.02,1671.4650000000001,115.96000000000001,335.04
4212,5827.029999999999,1711.672,108.97000000000001,335.04
4213,5738.01,1595.226,101.46,335.04
4214,5665.02,1516.615,97.27000000000001,335.04
4215,5584.05,1707.212,95.61000000000001,335.04
4216,5390.1,1807.9010000000003,95.71,335.04
4217,5332.01,1983.5359999999998,97.81,335.04
4218,5138.99,2149.396,103.83000000000001,335.04
4219,4941.01,2211.407,112.82,335.04
4220,4854.01,2033.3179999999998,124.39999999999999,335.04
4221,4923.01,1643.9969999999998,132.47,335.04
4222,4613.0,1270.4850000000001,139.51999999999998,335.04
4223,4460.01,1084.8759999999997,147.26,335.04
4224,4498.049999999999,1062.351,86.89,335.04
4225,4595.08,982.7669999999999,87.61,335.04
4226,4445.02,861.198,87.68,335.04
4227,4227.03,665.049,87.47,335.04
4228,4147.04,505.925,87.21000000000001,335.04
4229,4701.95,347.75399999999996,83.58000000000001,335.04
4230,5299.0199999999995,258.673,76.43,335.04
4231,5665.02,236.087,68.60000000000001,335.04
4232,5761.02,337.89599999999996,61.89,335.04
4233,5923.009999999999,583.202,55.31,335.04
4234,6127.03,959.0220000000002,50.03,335.04
