Row,2020,2030,2040,2050
Imports,375079086.1479628,201929972.5499251,136435935.35890946,137128227.50279707
Exports,-419437783.0763632,-522178668.375668,-168934148.4628335,-84636502.08243968
Transfer capacity payment,-373386284.15721446,-388074845.9664889,-200392052.94641626,-114113304.87886843
