Month,Switzerland,Germany,Italy,France,Austria
1,69.27407637047624,88.83892525364878,66.35487269851949,41.04115908071116,78.99452295528276
2,60.8351013628796,76.31480919631305,59.92870220375014,31.799340754405897,53.393792147482436
3,30.23681814235567,36.60482532739571,30.387258201523323,20.15521019728841,29.475827782412345
4,14.504936683268518,15.332439850560215,15.001394602713269,14.15676055166067,12.444965942934616
5,11.060152923864866,10.975555625076565,12.143090356117117,11.814418924471505,10.650117833215626
6,10.925184093766044,10.649778829324395,12.693753483415884,12.361947635233815,11.22269714873344
7,10.94199401070631,11.562831935442723,13.043651013172777,11.49304958430178,11.368945283446719
8,13.778601452123828,13.570994327590084,15.659973598652263,13.951031407167513,13.028153423825888
9,21.348201814913065,21.041428924389155,22.93069911319813,19.855906461220897,21.40232880128388
10,41.54725133429371,54.75472156690961,42.6727637177948,24.21137708602181,50.43200289220757
11,58.90804122238956,64.40129926975494,59.31232159709323,34.246401281199994,67.79276921754796
12,69.79759234151449,106.27062347812686,61.63644681191448,29.954512553029232,94.3784554173926
