Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994021923.752854,610243233.3019589,374636408.8076381
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481893956.83753616,295841086.9037619
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46085211.395965554
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944927766.0,488658668.2250471,170494584.2009752,77078094.31133075
Fixed Operation,0.0,540526491.7239478,457631651.22622675,249903724.81825316
Trading,-44377378.96723735,-474996361.2496051,-144153951.41335452,-34681019.24685564
