,Battery-DSO,Battery-TSO,Biomass,Coal,Dam,FuelCell,GasCC-CCS,GasCC-Syn,GasSC,Lignite,Nuclear,Oil,PV-roof,Pump-Open,RoR,WindOff,WindOn
0,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT,AT
2,336.979033331941,303.9872203458789,760.9999708792652,0.0,795.8874575984914,0.001450207765447366,844.9999305604438,0.0,0.0,0.0,0.0,0.0,0.0,8531.99986544578,2765.454454915934,0.0,3309.689974576158
3,336.9557270099726,303.9783874818648,760.9999717523764,0.0,1135.599702974672,0.001443930846293896,844.9999323079144,0.0,0.0,0.0,0.0,0.0,0.0,8531.99986639712,2765.4544551207,0.0,2202.009975180452
4,198.9977016097388,303.9556145220082,760.9999719079905,0.0,1472.480578011198,0.00143862865381271,844.9999326093529,0.0,0.0,0.0,0.0,0.0,0.0,8531.99987293871,2765.454455184347,0.0,1448.10997631759
5,0.06048342429549691,254.370802482512,760.99997220949,0.0,1566.262645756185,0.001442036406830932,844.9999332361502,0.0,0.0,0.0,0.0,0.0,0.0,8531.999873866189,2765.45445526052,0.0,1156.849977106672
6,0.03373548106644039,0.06217405448753897,760.9999724402426,0.0,1581.358058999066,0.00144628934198826,844.999933771394,0.0,0.0,0.0,0.0,0.0,0.0,8531.99987205596,2765.454455314075,0.0,1379.089976735885
7,0.02562059159628005,0.03555070233601754,760.999972535773,0.0,1120.762831539161,0.001454937703726504,844.9999340572347,0.0,0.0,0.0,0.0,0.0,0.0,8531.999869979549,2765.454455333177,0.0,2269.719975437555
8,0.02365747048204842,0.02923094965445454,760.9999727456761,0.0,1411.521170839274,0.001449807038583418,844.9999345959812,0.0,0.0,0.0,0.0,0.0,0.0,8531.999868253932,2765.454455396844,0.0,3804.969974827586
9,0.03220168382024408,0.03699422784422823,760.9999729529416,0.0,2316.074933246314,0.001435822739285996,844.9999348766504,0.0,0.0,0.0,0.0,0.0,0.0,8531.999867733937,2765.454455482972,0.0,5318.399974669096
10,0.0006317269570998424,0.0006115634258257544,760.9999613830012,0.0,0.0001064059724780057,0.0001215640183756961,844.9998343211204,0.0,0.0,0.0,0.0,0.0,14436.13996804605,798.5052104607681,2765.454449030237,0.0,6230.48
11,0.000848915129059788,0.0004189651129632415,760.9999352196274,0.0,4.379595244354935e-05,5.865924047595412e-05,0.000252153254009444,0.0,0.0,0.0,0.0,0.0,28377.72995552837,0.0001160154170704645,2765.454437032014,0.0,6862.36
12,0.001045319126350258,5.453495862869063e-05,31.87617227477696,0.0,2.291626181930746e-05,3.242209256358044e-05,5.741319748167956e-05,0.0,0.0,0.0,0.0,0.0,38761.16988210002,4.400571256799958e-05,2765.454377278046,0.0,5929.79
13,9.759815652892639e-05,3.493433312551967e-05,0.0001146499991122688,0.0,1.736847731420037e-05,2.537587926904453e-05,3.800904726350888e-05,0.0,0.0,0.0,0.0,0.0,43345.67,3.193714178510432e-05,2765.451892567665,0.0,4135.877390463525
14,9.755812229590045e-05,3.475728010438948e-05,0.0001146194329408992,0.0,1.734905911452118e-05,2.537442117536641e-05,3.799508678407743e-05,0.0,0.0,0.0,0.0,0.0,40518.32,3.193707643561104e-05,2765.451894412904,0.0,5253.227388778952
15,0.0004357736102319933,0.0004115906963306604,760.9999354746067,0.0,4.336342963844012e-05,5.968167365679568e-05,0.0003118785205627253,0.0,0.0,0.0,0.0,0.0,32276.50999999999,0.0001164569514893451,2765.454437385413,0.0,7510.849955471485
16,0.0004163590567796287,0.0004143194883201539,760.9999359595864,0.0,4.454559711417696e-05,5.853451378324209e-05,0.0002555326415851941,0.0,0.0,0.0,0.0,0.0,20369.38,0.0001164651537508572,2765.454437182968,0.0,7866.959955682597
17,0.0003630532934620931,0.0003608639475881951,760.9999634897571,0.0,0.0001131627336768987,0.0001137456645962334,844.9998389460834,0.0,0.0,0.0,0.0,0.0,920.5499682390922,8352.879221336721,2765.454449510491,0.0,9723.14
18,0.0003227831773456915,0.0003160892018785123,760.9999637145004,0.0,0.0001039654564455078,9.710126146022541e-05,844.9998388983807,0.0,0.0,0.0,0.0,0.0,0.0,8460.342730381253,2765.454449605643,0.0,11805.90996820584
19,0.0003013748168777907,0.0002910145899021637,760.9999637687421,0.0,0.0001037928635383398,9.555143828971784e-05,844.9998387521065,0.0,0.0,0.0,0.0,0.0,0.0,8412.014072338872,2765.454449628832,0.0,13856.18996815841
20,0.0002958436844279968,0.0002790385148478188,760.9999637342502,0.0,0.0001087239051512976,0.0001074823756587056,844.9998388517477,0.0,0.0,0.0,0.0,0.0,0.0,8235.737502765996,2765.45444959653,0.0,14872.31996813567
21,0.000327139652126896,0.0003226831320326784,760.9999638782284,0.0,0.000121420145936864,0.0001230483888262429,844.9998418620929,0.0,0.0,0.0,0.0,0.0,0.0,6339.211478930266,2765.45444958331,0.0,15922.33996815017
22,0.0003209932077502867,0.0003178553613531029,760.999963771639,0.0,0.0001212159375737926,0.0001231809091468797,844.9998418992341,0.0,0.0,0.0,0.0,0.0,0.0,5350.414184131723,2765.454449551643,0.0,15261.33996817422
23,0.0003151022934941075,0.0003125349090282571,760.9999638283936,0.0,0.0001214019347153345,0.0001232094616059343,844.9998420502498,0.0,0.0,0.0,0.0,0.0,0.0,5637.657000962409,2765.454449569181,0.0,13462.58996821672
24,0.0003096840482533169,0.0003064940024815362,760.9999639053441,0.0,0.0001215192996543359,0.0001231501459776909,844.9998421156241,0.0,0.0,0.0,0.0,0.0,0.0,6196.905946473924,2765.454449593914,0.0,11692.57996827106
25,0.0003063800270349628,0.000301374767000114,760.9999639346076,0.0,0.0001216040087518879,0.0001231084286238628,844.9998421972929,0.0,0.0,0.0,0.0,0.0,0.0,6228.592770929522,2765.454449602569,0.0,10196.35996832433
26,0.001506981748327928,0.001573990489374837,760.9999742909547,0.0,2021.147459859024,0.001447147139028352,844.9999385907811,0.0,0.0,0.0,0.0,0.0,0.0,8531.999867990775,2694.095436083648,0.0,8147.7499747636
27,0.04270518799528446,245.2241021258466,760.9999748008349,0.0,2786.998456745769,0.02317726141335371,844.999941169156,0.0,0.0,0.0,0.0,0.0,0.0,8531.999878422932,2694.095436535129,0.0,6270.569975276288
28,196.3315023290046,303.954977568013,760.99997490055,0.0,2786.998672247849,223.9216106585899,844.9999415335898,0.0,0.0,0.0,0.0,0.0,0.0,8531.99987872699,2694.095436653506,0.0,4733.939975513747
29,0.0418529351581475,6.87692720268515,760.9999749291245,0.0,2786.998615936023,1386.015104761621,844.9999415169419,0.0,0.0,0.0,0.0,0.0,0.0,8531.999878298247,2694.095436741802,0.0,3349.919976016256
30,0.02094541989946733,0.04261261984018515,760.9999749818904,0.0,2786.998545643944,2752.298837667305,844.9999415373666,0.0,0.0,0.0,0.0,0.0,0.0,8531.999877751732,2694.095436868473,0.0,2390.249976986228
31,0.0138740297247207,0.02125880310955364,760.9999749465201,0.0,2786.998567132143,1959.085776305211,844.9999415053904,0.0,0.0,0.0,0.0,0.0,0.0,8531.999878035796,2694.095436810195,0.0,1723.699977987914
32,336.9982331203775,303.9983805284413,760.9999756953644,0.0,2786.999255271456,3259.998426559182,844.999944813097,0.0,0.0,0.0,0.0,0.0,0.0,8531.99988652412,2694.095437448395,0.0,1100.229979870446
33,336.9982456890237,303.9983829130113,760.9999758311607,0.0,2786.999265192131,3259.998492831036,844.9999452210772,0.0,0.0,0.0,0.0,0.0,0.0,8531.999886859434,2694.09543766054,0.0,610.6699816193793
34,0.002389102341112397,0.002474574242308094,760.9999744427166,0.0,2114.795751792116,0.001447894266045098,844.9999390280238,0.0,0.0,0.0,0.0,0.0,9723.979974658052,8531.999867843277,2694.095436136358,0.0,385.12
35,0.0004993746386501527,0.0002993054471806172,760.9999637716011,0.0,0.0001202278142045262,0.0001219918021088048,844.9998418981083,0.0,0.0,0.0,0.0,0.0,17866.24996813554,3382.543666563624,2694.095429580707,0.0,182.89
36,0.0003362076684165745,0.0001443628555098095,760.9999561100216,0.0,7.463421852499665e-05,8.925985497983813e-05,844.9996343285493,0.0,0.0,0.0,0.0,0.0,24123.71,0.0003257986558615313,2694.095425900996,0.0,43.90996449023987
37,0.0001505879483365392,9.26836339179528e-05,760.9999467690367,0.0,5.50940520154278e-05,6.870293105018457e-05,0.001345441505068609,0.0,0.0,0.0,0.0,0.0,26644.3899599432,0.0001611201676751591,2694.095421517502,0.0,26.07
38,0.0003290196314792856,0.0001368267978585785,760.999956065942,0.0,7.539165512438395e-05,8.972286107310947e-05,844.9996335841784,0.0,0.0,0.0,0.0,0.0,22653.91996460413,0.0003322663343367889,2694.095425936016,0.0,96.79
39,0.0003136627995603945,0.0002927410776435438,760.9999642753631,0.0,0.0001220778777470158,0.0001236199107989284,844.9998435495796,0.0,0.0,0.0,0.0,0.0,16246.06996816171,7032.462424044628,2694.095429743381,0.0,228.87
40,0.001167564396547197,0.001166791296430764,760.9999750753249,0.0,2786.998545138139,2785.977809069455,844.999941699953,0.0,0.0,0.0,0.0,0.0,9046.65,8531.999878349003,2694.095436787458,0.0,515.5099751597305
41,218.1743133875674,249.4584830053045,760.999976410871,0.0,2786.999353399874,3259.998837755255,844.9999469670972,0.0,0.0,0.0,0.0,0.0,576.54,8531.999891131138,2694.095438191883,0.0,1215.14997915184
42,168.2934282882175,234.7569639006688,760.99997632463,0.0,2786.999361790208,3259.998860527733,844.9999467812539,0.0,0.0,0.0,0.0,0.0,0.0,8531.99989076912,2694.095438042109,0.0,2607.189977926475
43,157.9697460087698,230.5614575699082,760.9999763862992,0.0,2786.999370379695,3259.998887412927,844.9999469397927,0.0,0.0,0.0,0.0,0.0,0.0,8531.999891146079,2694.095438009693,0.0,4706.889976599309
44,172.3776116147824,233.2410287212627,760.9999762561694,0.0,2786.999378203088,3259.998905283209,844.999946635498,0.0,0.0,0.0,0.0,0.0,0.0,8531.99989099759,2694.09543780892,0.0,6144.859976168233
45,154.8357986024117,216.824370249081,760.9999759864376,0.0,2786.999389844848,3259.998921638211,844.9999460255958,0.0,0.0,0.0,0.0,0.0,0.0,8531.99989130271,2694.095437511808,0.0,7083.349975957431
46,0.0009962000339384706,0.0009894486406233178,760.9999748470706,0.0,2786.998556184887,2001.529093720325,844.9999411443166,0.0,0.0,0.0,0.0,0.0,0.0,8531.999879264567,2694.095436671756,0.0,7843.779975235593
47,0.001009956143729165,0.001004531321198552,760.9999745994951,0.0,2786.998644193256,826.420545723583,844.999940658019,0.0,0.0,0.0,0.0,0.0,0.0,8531.99987968335,2694.095436487017,0.0,7765.979975178332
48,0.001019932538447655,0.001015131473090262,760.9999742784162,0.0,2786.998660174503,359.2257356955158,844.999939930622,0.0,0.0,0.0,0.0,0.0,0.0,8531.999879600644,2694.095436307977,0.0,6240.929975174744
49,0.001025404260832231,0.001020552982880853,760.9999739184655,0.0,2786.998646663026,218.9562399838208,844.9999390008973,0.0,0.0,0.0,0.0,0.0,0.0,8531.999878712144,2694.095436130823,0.0,5999.779975114381
50,0.005669272659595937,0.005688166980040823,760.999975242432,0.0,2786.999400433249,653.9338848475535,844.9999425958493,0.0,0.0,0.0,0.0,0.0,0.0,8531.999887342914,2630.21026708499,0.0,5501.249975750581
51,0.0005863117847534244,0.0005822723409679138,760.999973964466,0.0,401.4345048019149,0.0007080627749812755,844.9999355480155,0.0,0.0,0.0,0.0,0.0,0.0,8531.999864529202,2630.210266256849,0.0,4898.639974960547
52,0.0005931975971124044,0.0005885878195384694,760.9999738396966,0.0,279.1516187917159,0.0007182263589236176,844.9999353578837,0.0,0.0,0.0,0.0,0.0,0.0,8531.999864951344,2630.210266199704,0.0,4316.819975063134
53,0.0005985650598014865,0.0005926591453597811,760.9999738400946,0.0,283.4701338621214,0.0007183074526447954,844.9999353897725,0.0,0.0,0.0,0.0,0.0,0.0,8531.99986537301,2630.210266232998,0.0,3404.289975407002
54,0.000603169559150244,0.0005946215512909235,760.999973891462,0.0,292.1090473872097,0.0007178888529996194,844.9999355437913,0.0,0.0,0.0,0.0,0.0,0.0,8531.999865784524,2630.210266288094,0.0,2898.739975790606
55,0.0006044833511593428,0.0005917842808020929,760.9999737937449,0.0,282.9524987612102,0.0007188738741103949,844.9999353170762,0.0,0.0,0.0,0.0,0.0,0.0,8531.999866084921,2630.210266234014,0.0,2501.169976126267
56,0.0006039631120726375,0.0005892159648665592,760.9999742376826,0.0,345.6440872634192,0.0007160567218350595,844.9999364877287,0.0,0.0,0.0,0.0,0.0,0.0,8531.999867493627,2630.210266571792,0.0,2081.689977006472
57,0.0245616575901628,0.0247573296668098,760.9999756810918,0.0,2786.999381768862,1529.149111213503,844.9999437117142,0.0,0.0,0.0,0.0,0.0,0.0,8531.999890262332,2630.210267626139,0.0,1652.699978768695
58,0.0006076721979083585,0.0006017397922537428,760.99996153404,0.0,0.0001131621891444421,0.0001094128451398801,844.999822537291,0.0,0.0,0.0,0.0,0.0,18167.49,5702.050230102137,2630.210259166164,0.0,1085.249967997228
59,0.0004053751251242148,0.0004228258797651208,760.9999346570539,0.0,4.302302411319026e-05,5.659857523767756e-05,0.0002339351554247784,0.0,0.0,0.0,0.0,0.0,34522.17,0.0001160453054826249,2630.21024703309,0.0,599.1899555050793
60,3.47319704222284e-05,3.50868268125048e-05,0.0001134358921178254,0.0,1.733164961029516e-05,2.493636637469409e-05,3.738562843233599e-05,0.0,0.0,0.0,0.0,0.0,46312.79176094844,3.196313995489861e-05,2630.20767177441,0.0,0.0
61,3.507360185406511e-05,3.536075206447243e-05,0.0001143089488090508,0.0,1.734139070470915e-05,2.49435024657108e-05,3.743061814376222e-05,0.0,0.0,0.0,0.0,0.0,48775.79173455611,3.196954030703823e-05,2630.20769531655,0.0,0.0
62,0.0003984419895937357,0.0004191649450001286,760.9999345067241,0.0,4.233796243170741e-05,5.718928177430317e-05,0.0002744317137592482,0.0,0.0,0.0,0.0,0.0,45184.59995536963,0.0001162638866346075,2630.210247395032,0.0,102.21
63,0.0004028355815493904,0.0004092424285700213,760.9999341423604,0.0,4.263239471966179e-05,5.690541430466866e-05,0.0002332708844169576,0.0,0.0,0.0,0.0,0.0,34875.25995549673,0.0001159252745651432,2630.210246970433,0.0,78.85
64,0.0003015261611007358,0.0002955312936680595,760.999960845223,0.0,0.0001053677332992989,0.0001117382986860388,844.9998200409021,0.0,0.0,0.0,0.0,0.0,21228.56,3616.295592411792,2630.21025904134,0.0,86.12996795796732
65,197.0932657417445,303.9767728088466,760.9999749098893,0.0,365.1063011972625,0.0007157559143613425,844.9999382738401,0.0,0.0,0.0,0.0,0.0,2345.129976738243,8531.99987369254,2630.210267090896,0.0,403.63
66,336.9989937712825,303.9990615560029,760.9999770090594,0.0,2786.99904073235,0.00226553766021586,844.9999461646681,0.0,0.0,0.0,0.0,0.0,0.0,8531.999912372628,2630.21026914581,0.0,1261.599980876635
67,0.02159862843049642,52.17586570536755,760.9999763766884,0.0,1671.715270165273,0.0006633460507998504,844.9999422036292,0.0,0.0,0.0,0.0,0.0,0.0,8531.999902577942,2630.210268784204,0.0,1752.489979795467
68,0.01439826050076184,0.04215742769005524,760.9999761335353,0.0,1048.942230033437,0.0006869900354641578,844.9999415162793,0.0,0.0,0.0,0.0,0.0,0.0,8531.99989731526,2630.210268421898,0.0,2135.769979092335
69,0.0108143950673222,0.02142214053326454,760.9999756513624,0.0,559.2131070131672,0.000704309329135977,844.999940255987,0.0,0.0,0.0,0.0,0.0,0.0,8531.99988629477,2630.210267824302,0.0,2633.619977594278
70,0.008645216796166403,0.01433022570214446,760.9999750086777,0.0,357.0806972367196,0.0007162599687531484,844.9999385829992,0.0,0.0,0.0,0.0,0.0,0.0,8531.999874628053,2630.210267167963,0.0,3018.709976579942
71,0.00720700110773429,0.01078049194468532,760.9999746220335,0.0,308.178428671548,0.000719416453607528,844.9999376137521,0.0,0.0,0.0,0.0,0.0,0.0,8531.999871721353,2630.210266829367,0.0,3566.319975891007
72,0.006176513331097707,0.008620317622882545,760.9999743216937,0.0,145.2140736012784,0.0007238016844940772,844.9999369849896,0.0,0.0,0.0,0.0,0.0,0.0,8531.99986984267,2630.210266540683,0.0,4645.389975203821
73,0.0003738890483780152,0.0003767437599214341,760.9999716956016,0.0,0.0004443597529165174,0.0002773228265361227,844.9999216096627,0.0,0.0,0.0,0.0,0.0,0.0,8531.999811806783,2630.210264735778,0.0,5699.629973270115
74,336.998973497108,303.9990614452597,760.9999745765048,0.0,2786.999185477143,0.003883769670933055,844.9999403684179,0.0,0.0,0.0,0.0,0.0,0.0,8531.999883503186,2576.983456779436,0.0,7746.869975352201
75,0.04126176641221145,199.6902142450978,760.9999730951847,0.0,2786.994564417088,0.0008223414101185021,844.9999339754751,0.0,0.0,0.0,0.0,0.0,0.0,8531.999867668821,2576.983455830688,0.0,11246.28997450561
76,0.008990872266649075,0.01012887836891962,760.9999725832658,0.0,1343.277224958068,0.0007172774167722863,844.9999320344725,0.0,0.0,0.0,0.0,0.0,0.0,8531.999864711312,2576.983455581394,0.0,14825.71997430814
77,0.0003599327297641729,0.0003506031011605378,760.9999616618366,0.0,0.0001155258108998295,0.0001088233495713224,844.9998229557887,0.0,0.0,0.0,0.0,0.0,0.0,6834.069444989754,2576.983449223988,0.0,17765.81996801378
78,0.0004670008189601201,0.0004589025708946169,760.9999612809643,0.0,0.0001128798364079438,0.0001093499903867626,844.9998215975011,0.0,0.0,0.0,0.0,0.0,0.0,4629.502060416524,2576.983449122362,0.0,19965.54996797132
