,0,0
0,Jan,1327176.2970273253
1,Feb,668428.0644702937
2,Mar,568649.9786120587
3,Apr,963845.2881266971
4,May,2504522.369773496
5,Jun,4050472.0081285154
6,Jul,5584693.306033775
7,Aug,6128359.4892954305
8,Sep,6318338.850905107
9,Oct,6180786.66860523
10,Nov,5290428.174527907
11,Dec,3486642.5334100095
