Row,2020,2030,2040,2050
Imports,371418809.6695616,180319955.04284433,122335026.51460628,121454159.49937537
Exports,-440874543.4819058,-544043004.4395425,-185660604.03938165,-92535228.7550456
Transfer capacity payment,-374967071.063755,-402924236.26122767,-199900465.7270438,-112785403.7403985
