Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991964005.7973925,608979850.1944017,373860801.1736092
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,483671198.8676548,296932159.3408015
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,52346468.52322113
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944163383.0,489845306.6780353,172488853.81864408,85045409.70127729
Fixed Operation,0.0,539443091.379328,457771422.9522871,252385303.25429747
Trading,-66097939.16096687,-359936588.284584,-60266956.05907664,31535386.349726137
