EGID,GBAUJ,GKODN,GKODE,TMPIDX,TSN,HBLD,CBLD,HHTR,THKM8,THK15,PRT,GEBF,GAREA,HPTYP,ISHP,ISRSD,ISRTF,QRTnew
1712079,1900.0,47.321129886560705,9.412412787720816,377,126,0.98154,47.83333333333333,0.6141800000000001,65.0,25,27.74433937150736,574.0,287.0,1,0,1,0,31.605587999999997
1712080,1900.0,47.321835372248145,9.413140637835207,377,126,0.24966,20.277777777777786,0.15622,65.0,25,4.862633044505207,146.0,73.0,1,0,1,0,8.039052
1712081,1900.0,47.321890269243795,9.412942726835032,377,126,0.31806,25.833333333333336,0.19902,65.0,25,7.425089639002133,186.0,93.0,0,0,1,0,10.241532
1712082,1900.0,47.32187367687853,9.412501234097832,377,116,0.11424000000000001,46.66666666666667,0.18480000000000002,37.5,20,11.66555932922262,336.0,112.0,0,0,1,1,3.678528
1712083,1900.0,47.32202698217611,9.412223009233676,377,116,0.5950799999999999,48.33333333333334,0.3723599999999999,65.0,25,13.120726612657919,348.0,116.0,1,0,1,0,19.161575999999997
1712085,1900.0,47.32288715365943,9.411397269624613,377,116,0.43776,35.555555555555564,0.27392,65.0,25,8.011010565302525,256.0,128.0,1,0,1,0,14.095871999999998
1712086,1900.0,47.32457116357774,9.410442795769098,377,116,0.45144,22.0,0.28248,65.0,25,12.51072042989265,264.0,132.0,0,0,1,0,14.536368
1712087,1931.0,47.32473265425001,9.410335974415917,377,116,0.67716,55.0,0.42372,65.0,25,12.686517707931484,396.0,132.0,0,0,1,0,21.804551999999997
1712091,1989.0,47.32341696456709,9.411838043924071,377,116,0.20748000000000005,25.277777777777786,0.16562000000000002,55.0,25,6.483277205703452,182.0,91.0,1,0,1,0,6.680856000000001
1712092,1989.0,47.32348240239088,9.412413280343296,377,116,0.4833599999999999,11.777777777777779,0.38584,55.0,25,26.89531085261441,424.0,212.0,0,0,1,0,15.564191999999997
1712093,1989.0,47.32361444586032,9.411720162210834,377,116,0.2736,33.333333333333336,0.2184,55.0,25,8.465401687763686,240.0,80.0,1,1,1,0,8.80992
1712094,1989.0,47.32361338680267,9.411619546029506,377,116,0.2052,25.0,0.1638,55.0,25,6.30256640335842,180.0,90.0,0,0,1,0,6.607439999999999
