EGID,GBAUJ,GKODN,GKODE,TMPIDX,TSN,HBLD,CBLD,HHTR,THKM8,THK15,PRT,GEBF,GAREA,HPTYP,ISHP,ISRSD,ISRTF,QRTnew
101235954,2006.0,46.969829705234076,8.463413903582774,138,79,0.31648000000000004,51.111111111111114,0.35328000000000004,45.0,25,11.221037878379917,368.0,184.0,1,1,1,0,10.190656
101235956,2006.0,46.96331988024055,8.465731972660457,138,79,0.1754399999999999,28.333333333333336,0.19584,45.0,25,14.443013215171248,204.0,102.0,1,0,0,0,5.649167999999997
101235957,2006.0,46.96805321187957,8.458503283093831,138,79,0.28896,9.333333333333334,0.3225599999999999,45.0,25,20.45978048611418,336.0,112.0,1,0,1,0,9.304511999999999
101235959,2007.0,46.969991319687004,8.462415799748358,138,79,0.25972,41.944444444444436,0.2899199999999999,45.0,25,9.99276924447802,302.0,151.0,1,0,1,0,8.362983999999999
101235960,2007.0,46.969376020181244,8.46767929213635,138,79,0.27176,26.33333333333333,0.3033599999999999,45.0,25,13.569021217078642,316.0,158.0,1,1,1,0,8.750672
101235962,2006.0,46.97072449421296,8.469312083900032,138,79,0.043,4.166666666666666,0.0479999999999999,45.0,25,3.930372047006205,50.0,50.0,1,0,0,0,1.3845999999999998
101235964,2007.0,46.9681861489885,8.464655310276534,138,79,0.76368,123.33333333333334,0.8524799999999999,45.0,25,34.641490146577155,888.0,296.0,1,0,1,0,24.590495999999998
101235965,2008.0,46.97057749341607,8.462547707378151,138,79,0.20124,19.5,0.2246399999999999,45.0,25,11.507780773088653,234.0,117.0,1,1,1,0,6.479927999999999
101235966,2007.0,46.96275379473243,8.48911423373011,138,79,0.07998,7.75,0.08928,45.0,25,5.6243613456044566,93.0,93.0,1,0,0,0,2.5753559999999998
101235978,2008.0,46.97123933221448,8.46460529846602,138,79,0.26058000000000003,25.25,0.2908799999999999,45.0,25,12.764535548364446,303.0,101.0,1,1,1,0,8.390676000000001
101235985,2007.0,46.96792284900903,8.464928497150936,138,79,0.29928,29.0,0.33408000000000004,45.0,25,15.602422658266804,348.0,116.0,0,0,1,0,9.636816
101235987,2007.0,46.96792064685503,8.465058909428855,138,79,0.2915399999999999,28.25,0.3254399999999999,45.0,25,14.007471586461918,339.0,113.0,1,0,1,0,9.387587999999996
101236018,2001.0,46.964478728891876,8.473902560986911,138,79,0.12555999999999998,12.166666666666664,0.1401599999999999,45.0,25,6.5710425764442695,146.0,73.0,1,0,1,0,4.043031999999998
101236019,1932.0,46.97131087164896,8.456751290201241,138,79,1.11834,54.5,0.6997800000000001,65.0,25,27.450783450190066,654.0,327.0,1,0,1,0,36.01054799999999
101236025,2002.0,46.97133731875522,8.456002529239504,138,79,0.4953599999999999,48.0,0.5529599999999999,45.0,25,27.904443566309862,576.0,192.0,1,1,1,0,15.950591999999997
101236026,2002.0,46.96167297763818,8.489650717673731,138,79,0.30444,49.16666666666667,0.33984000000000003,45.0,25,13.011101028370993,354.0,177.0,1,0,1,0,9.802967999999998
101236027,2002.0,46.969931549898355,8.462700942749223,138,79,0.2064,20.0,0.2304,45.0,25,9.801897239828484,240.0,120.0,0,0,1,0,6.6460799999999995
101236028,2002.0,46.96743720362557,8.470489218578036,138,79,2.77436,268.8333333333333,3.09696,45.0,25,226.44355271319648,3226.0,1613.0,1,0,0,0,89.334392
101236030,2002.0,46.96229877739012,8.484668326303659,138,79,0.25456,24.666666666666664,0.2841599999999999,45.0,25,12.663935510027946,296.0,148.0,1,0,1,0,8.196831999999999
101236034,2002.0,46.968072735964135,8.459360051931682,138,79,0.27864,45.0,0.31104,45.0,25,10.212151536072337,324.0,162.0,0,0,1,0,8.972207999999998
101236048,1998.0,46.96831017790901,8.45869459942973,138,79,0.97584,71.33333333333333,0.77896,55.0,25,42.70069814134015,856.0,214.0,1,0,1,0,31.422048
101401452,2004.0,46.96862310416112,8.471885014672859,138,79,1.05608,102.33333333333331,1.17888,45.0,25,57.07973937973416,1228.0,307.0,0,0,1,0,34.005776
101401453,2004.0,46.968386862774686,8.471656368684117,138,79,1.05264,170.0,1.17504,45.0,25,48.59213490290867,1224.0,306.0,1,0,1,0,33.895008
101401461,2004.0,46.96688027501854,8.471692760966134,138,79,0.20812,6.722222222222222,0.2323199999999999,45.0,25,13.735133542044814,242.0,121.0,1,0,1,0,6.701463999999999
101401462,2005.0,46.96271889380257,8.486126612655182,138,79,0.34314,55.41666666666667,0.38304,45.0,25,15.846555683581894,399.0,133.0,1,0,1,0,11.049107999999999
101401465,2005.0,46.971191094853886,8.454131038603514,138,79,0.9546,92.5,1.0656,45.0,25,47.8899053451001,1110.0,370.0,0,1,1,0,30.73812
101401466,2005.0,46.971208540647666,8.453719335795567,138,79,0.9546,154.16666666666669,1.0656,45.0,25,37.96692889709564,1110.0,370.0,0,0,1,0,30.73812
101401470,2005.0,46.96980370806671,8.463736775367115,138,79,0.26316,25.5,0.2937599999999999,45.0,25,13.25660693770951,306.0,153.0,1,1,1,0,8.473752
101401474,2006.0,46.966165733951854,8.471820916043907,138,79,0.34314,33.25,0.38304,45.0,25,18.01081880754264,399.0,133.0,1,0,1,0,11.049107999999999
101401475,2007.0,46.97070552750337,8.467206047187318,138,79,0.56072,90.55555555555556,0.6259199999999999,45.0,25,20.58495645979138,652.0,163.0,0,1,1,0,18.055184
101401476,2006.0,46.970431825070655,8.467049817953779,138,79,0.88064,85.33333333333333,0.98304,45.0,25,41.90859119278203,1024.0,256.0,1,0,1,0,28.356607999999998
101401478,2006.0,46.968354616685026,8.47224271316062,138,79,1.3158,212.5,1.4688,45.0,25,56.82627210463909,1530.0,306.0,0,0,1,0,42.36876
101401485,2006.0,46.967933892311045,8.464493728799232,138,79,0.8617199999999999,139.16666666666669,0.96192,45.0,25,39.51898081589773,1002.0,334.0,1,0,1,0,27.747383999999997
101401487,1942.0,46.961817259893124,8.468922936453811,138,79,0.62073,30.25,0.38841,65.0,25,15.044492051614645,363.0,121.0,1,1,1,0,19.987506
101401489,2006.0,46.96813490608072,8.471484522100813,138,79,0.6140399999999999,99.16666666666669,0.6854399999999999,45.0,25,27.910861196495446,714.0,238.0,1,0,1,0,19.772087999999997
101401490,2006.0,46.96794663922884,8.471811973247473,138,79,0.6140399999999999,99.16666666666669,0.6854399999999999,45.0,25,22.67679527645206,714.0,238.0,1,0,1,0,19.772087999999997
101401491,2006.0,46.967671911946056,8.471892896433934,138,79,0.81872,132.22222222222223,0.91392,45.0,25,35.16031534699665,952.0,238.0,0,0,1,0,26.362783999999998
101401492,2006.0,46.96786173919706,8.471396282148843,138,79,1.05264,170.0,1.17504,45.0,25,41.882438068793185,1224.0,306.0,0,1,1,0,33.895008
101401494,2005.0,46.91540401924132,8.479676559557106,138,79,0.12728,12.333333333333332,0.1420799999999999,45.0,25,11.180739210696784,148.0,148.0,0,0,0,0,4.098415999999999
