,0,0
0,Jan,1353715.822406153
1,Feb,678845.4857809031
2,Mar,568298.0055206901
3,Apr,954057.2039006738
4,May,2476821.581829815
5,Jun,4018773.802088035
6,Jul,5575779.482947271
7,Aug,6124325.06042701
8,Sep,6315975.593313008
9,Oct,6166788.583873981
10,Nov,5256517.124513311
11,Dec,3486642.5400443096
