,Battery-DSO,Battery-TSO,Biomass,Coal,Dam,FuelCell,GasCC-CCS,GasCC-Syn,GasSC,Lignite,Nuclear,Oil,PV-roof,Pump-Open,RoR,WindOff,WindOn
0,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR
2,4713.273897863975,5865.796399890561,2414.999840637084,0.0,9846.999816684409,0.0001812223401492921,0.002436558259723713,0.0,0.0,0.0,28144.99985751539,0.0,0.0,0.002389308639534962,4315.823894146685,24476.44989034947,8774.91
3,4500.528365683129,6625.239079183484,2414.999844258298,0.0,9846.999817740525,0.0001903054566822357,0.002454599165807898,0.0,0.0,0.0,28144.99985781592,0.0,0.0,0.002271246020985082,4315.823894985822,21989.95,8875.19989062591
4,4040.436053527766,6563.079229231142,2414.999845613414,0.0,9846.999814606752,0.0001913040431373881,0.002142943061938374,0.0,0.0,0.0,28144.99985796463,0.0,0.0,0.002329432755531316,4315.823895532531,19647.81,9492.649890773904
5,4488.64467848416,7659.025909615028,2414.999847968255,0.0,9846.999815464926,0.0001922173854607238,0.00217111504661937,0.0,0.0,0.0,28144.99985820313,0.0,0.0,0.002461604420606465,4315.823896485697,17538.69,10158.23989098392
6,3866.984168609343,6122.407274379818,2414.999849408186,0.0,9846.999816012696,0.0001927538077415996,0.002225723391085812,0.0,0.0,0.0,28144.99985839086,0.0,0.0,0.002535177304452681,4315.823897164441,17091.72,11148.42989109052
7,2053.14578245149,2586.928897029113,2414.999850131069,0.0,9846.999815740131,0.0001930927731534912,0.002228495798371248,0.0,0.0,0.0,28144.99985853546,0.0,0.0,0.002580187436877508,4315.823897552819,16922.01989112622,12725.91
8,1783.660217941399,2118.725888679711,2414.999853345149,0.0,9846.999818869559,0.0001935603925887789,0.002164597300114361,0.0,0.0,0.0,28144.99985878291,0.0,0.0,0.002640788625262908,4315.823899060592,17367.75989121868,14173.37
9,5172.790574210125,8026.594142004703,2414.999856854896,0.0,9846.999824277122,0.0001939301441134701,0.001918892043174451,0.0,0.0,0.0,28144.99985905536,0.0,0.0,0.002691796975076995,4315.823901079157,18158.08,14417.62989136771
10,2866.135784322372,3395.440501084213,2414.999855831348,0.0,9846.999822651671,0.0001940342789971143,0.001967754574435336,0.0,0.0,0.0,28144.99985906863,0.0,5453.56,0.002709605445800678,4315.823900397137,18558.43,14001.46989119183
11,0.04086599625368818,0.04090690656242691,2414.999854087979,0.0,9846.999817332648,0.0001930711242719683,0.003252761571113529,0.0,0.0,0.0,28144.99985860256,0.0,27150.53,0.002615649650351196,4315.823899158004,18668.17,13489.75989052214
12,0.001234139920311616,0.001245033968079288,2414.999827397602,0.0,9846.999775869435,0.0001675656126097397,0.0006731192865452804,0.0,0.0,0.0,28144.9998408987,0.0,54260.28,0.0007919871060188377,4315.823887889467,19305.82,10986.27988004588
13,0.001214763844979267,0.00123572875328414,2414.999825257585,0.0,9846.999778358542,0.0001668596950271659,0.0005664061469341425,0.0,0.0,0.0,28144.99984086905,0.0,78530.08,0.0007758458943758952,4315.823887089316,20066.17,9749.45987995128
14,0.001246719350352535,0.001252735829926621,2414.999825511378,0.0,9846.998589838156,0.000165592976764538,0.0006217427697444401,0.0,0.0,0.0,28144.99984102265,0.0,90284.44988001154,0.0007921275937147181,4315.823887016845,19380.64,9668.74
15,0.001248821539221746,0.00125445434716733,2414.999825748328,0.0,9846.99661979273,0.0001661924701079252,0.0006433310605673687,0.0,0.0,0.0,28144.9998412076,0.0,84168.23,0.000795339025455954,4315.823887123774,17450.71988012217,8440.81
16,0.001249926447214455,0.001256648643773481,2414.999828938754,0.0,9846.99978570014,0.0001682621181081434,0.0007688932950426688,0.0,0.0,0.0,28144.99984151563,0.0,64270.37,0.0008120687323855497,4315.823888368065,16638.9,7205.709880327936
17,0.00662865164999002,0.006623981335435718,2414.99985369361,0.0,9846.999815426514,0.0001934467205820352,0.002703665318156911,0.0,0.0,0.0,28144.99985865045,0.0,35002.34989052072,0.002537720717218071,4315.823899163895,17241.04,6886.25
18,2385.918817232713,2747.290605584701,2414.99986293972,0.0,9846.999845350405,0.000198326675114214,0.00939950300859011,0.0,0.0,0.0,28144.99986217205,0.0,2164.85,0.0046211852524649,4315.823903718632,18711.52,7699.399893413154
19,3733.710425735767,5571.089251298549,2414.999866657259,0.0,9846.999846740668,0.0001981368062062057,0.01069243829417656,0.0,0.0,0.0,28144.99986260444,0.0,0.0,0.004790202479625252,4315.823906273366,20105.08989373191,8272.18
20,2621.860594923963,3827.297556888599,2414.999867374389,0.0,9846.99984918384,0.0001990787639752171,0.01165512235890265,0.0,0.0,0.0,28144.99986288526,0.0,0.0,0.004927531950665431,4315.823906760097,21176.75989387945,7964.28
21,2535.898088732625,3909.687603019533,2414.99986857353,0.0,9846.999850509146,0.0001998515341292325,0.01269391327416079,0.0,0.0,0.0,28144.99986315614,0.0,0.0,0.005058177550960623,4315.823907569771,21613.65,7472.939894077422
22,3381.436367389388,6678.694059260147,2414.999870226487,0.0,9846.999851780083,0.0002004630319371572,0.01387974684382358,0.0,0.0,0.0,28144.99986343724,0.0,0.0,0.005194025349390351,4315.823908797232,22049.17989426079,7247.809999999999
23,4437.998964376511,11653.47204426931,2414.999872054786,0.0,9846.99985412148,0.0002003874940524776,0.01526613062514828,0.0,0.0,0.0,28144.99986369508,0.0,0.0,0.005341733080195959,4315.82391037012,21519.5098944933,7015.47
24,3755.815235123887,9244.268863952406,2414.999871705209,0.0,9846.99985398752,0.0002007788381389677,0.01710535744183241,0.0,0.0,0.0,28144.9998637406,0.0,0.0,0.00548847429877771,4315.823909979452,18717.2,6547.699894810179
25,3102.61172586893,6564.657807237227,2414.999870971465,0.0,9846.99985340527,0.0002011004441061175,0.01943266038770842,0.0,0.0,0.0,28144.99986377465,0.0,0.0,0.005646684186357254,4315.823909164972,18074.77989483602,6697.09
26,4489.824076831322,12497.0501149405,2414.999869783428,0.0,9846.999854148762,0.0002011731517272403,0.02270955501611636,0.0,0.0,0.0,28144.99986379463,0.0,0.0,0.005833139156444895,4346.69590812382,17320.47,6430.929894900333
27,3374.403803617967,7189.008957846208,2414.999868757003,0.0,9846.999858147456,0.000200561852440744,0.02692524069464993,0.0,0.0,0.0,28144.9998638045,0.0,0.0,0.006044115405560969,4346.695907166321,16851.22989491647,6326.22
28,3250.250609993457,6494.121141579429,2414.999868325235,0.0,9846.999857851597,0.0002005037573872942,0.03188074900057922,0.0,0.0,0.0,28144.99986380035,0.0,0.0,0.006237387525656031,4346.695906772014,16850.34,6372.289894879108
29,2598.660075433021,4323.692972499912,2414.999867614369,0.0,9846.999854523909,0.0002007903632489888,0.0386664725478293,0.0,0.0,0.0,28144.99986380646,0.0,0.0,0.006445356228423217,4346.695906166071,17893.35,6729.229894732372
30,1207.110573412209,1479.835388965473,2414.99986725472,0.0,9846.999853890153,0.0002012082979547813,0.04866892230957943,0.0,0.0,0.0,28144.99986382173,0.0,0.0,0.006662561599126632,4346.695905865254,19454.29989458309,7089.21
31,1001.270198401917,1165.559673767109,2414.999867427725,0.0,9846.999855880349,0.0002013836023966818,0.06527323210382871,0.0,0.0,0.0,28144.99986385477,0.0,0.0,0.006894642698200871,4346.695905956277,21013.88,7909.459894441801
32,1607.298957518133,1988.647399196322,2414.999868038002,0.0,9846.999856447539,0.0002012663140097631,0.09893153353375188,0.0,0.0,0.0,28144.9998639235,0.0,0.0,0.007141573281820444,4346.695906438549,22718.44989433704,8967.83
