Hour,idProfile,idProfile_eMobility,idProfile_eHeatPump,idProfile_eHydrogen
7259,6791.99,1163.9560000000001,474.34000000000003,335.04
7260,6535.049999999999,1226.9759999999999,456.80000000000007,335.04
7261,6469.02,1045.734,437.73,335.04
7262,6287.01,1040.767,418.53000000000003,335.04
7263,6219.0,1239.947,404.53999999999996,335.04
7264,6237.01,1480.5839999999998,405.2099999999999,335.04
7265,6293.000000000001,1662.228,414.78999999999996,335.04
7266,6453.0,1988.5810000000001,418.21000000000004,335.04
7267,6208.9400000000005,2223.5539999999996,419.29,335.04
7268,5835.040000000001,2069.3869999999997,422.32000000000005,335.04
7269,5534.0,1824.2779999999998,426.64000000000004,335.04
7270,5323.01,1588.5430000000001,429.6,335.04
7271,5154.01,1272.6909999999998,430.47,335.04
7272,4951.120000000001,972.2839999999999,423.05000000000007,335.04
7273,5264.03,686.895,423.5,335.04
7274,5347.04,514.1870000000001,423.49,335.04
7275,5515.01,364.96000000000004,428.1700000000001,335.04
7276,5213.0,291.906,436.57000000000005,335.04
7277,5251.120000000001,252.627,452.13,335.04
7278,5508.9400000000005,460.63500000000005,469.24999999999994,335.04
7279,6113.0,1333.9,469.7899999999999,335.04
7280,6347.92,2345.082,440.34000000000003,335.04
7281,6406.01,2625.1580000000004,397.9,335.04
7282,6445.99,2269.125,346.06,335.04
7283,6574.02,1821.286,294.6,335.04
7284,6277.97,1643.3340000000003,252.76,335.04
7285,6209.969999999999,1721.3809999999999,224.64000000000001,335.04
7286,6110.97,1900.0520000000001,209.60000000000002,335.04
7287,6025.110000000001,1776.0969999999998,214.56,335.04
7288,5927.029999999999,1616.1719999999998,254.94,335.04
7289,6138.99,1803.7559999999999,309.63,335.04
7290,6247.040000000001,2367.766,346.66999999999996,335.04
7291,5983.02,2968.566,363.59,335.04
7292,5616.99,3165.634,378.4,335.04
7293,5295.07,2693.742,387.21,335.04
7294,5161.02,2089.08,393.53,335.04
7295,5247.040000000001,1672.9470000000001,395.03000000000003,335.04
7296,5464.03,1335.741,400.15999999999997,335.04
7297,5548.92,981.4850000000002,401.60999999999996,335.04
7298,5593.99,696.9590000000001,405.96000000000004,335.04
7299,5525.09,498.137,411.43999999999994,335.04
7300,5458.04,361.31600000000003,409.0,335.04
7301,5599.02,309.024,415.76,335.04
7302,6016.99,492.972,425.51,335.04
7303,6267.99,1358.8700000000001,444.56999999999994,335.04
7304,6547.04,2378.223,457.01,335.04
7305,6602.94,2705.924,460.75,335.04
7306,6691.99,2350.352,456.06999999999994,335.04
7307,6663.0,1883.1679999999997,451.50000000000006,335.04
7308,6343.01,1690.3319999999999,445.17,335.04
7309,6291.99,1770.66,435.97,335.04
7310,6188.02,1947.459,429.62,335.04
7311,6188.02,1819.913,431.58000000000004,335.04
7312,6151.120000000001,1661.8960000000002,444.18000000000006,335.04
7313,5808.9400000000005,1830.033,467.0200000000001,335.04
7314,5902.9400000000005,2376.9159999999997,488.4799999999999,335.04
7315,5678.960000000001,2964.938,509.30999999999995,335.04
7316,5384.050000000001,3151.9990000000007,524.76,335.04
7317,5208.9400000000005,2674.875,534.75,335.04
7318,5125.110000000001,2080.492,539.11,335.04
7319,5157.030000000001,1670.763,543.4300000000001,335.04
7320,5095.08,1334.759,548.36,335.04
7321,5182.0,980.6269999999998,553.5699999999999,335.04
7322,5274.02,696.2,558.05,335.04
7323,5390.1,501.537,570.26,335.04
7324,5320.039999999999,361.35699999999997,580.8399999999999,335.04
7325,5411.98,307.65600000000006,586.68,335.04
7326,5388.02,488.855,587.17,335.04
7327,5688.02,1345.7910000000002,576.69,335.04
7328,5976.01,2349.8780000000006,555.4499999999999,335.04
7329,5995.08,2656.6180000000004,522.5699999999999,335.04
7330,6105.01,2331.447,488.55,335.04
7331,6218.000000000001,1892.8759999999997,462.16,335.04
7332,5957.0,1706.643,444.91999999999996,335.04
7333,5867.99,1779.732,442.72,335.04
7334,5777.03,1951.763,441.13,335.04
7335,5701.95,1813.018,442.73,335.04
7336,5688.02,1651.33,466.95000000000005,335.04
7337,5961.99,1826.6239999999998,520.13,335.04
7338,6023.99,2384.004000000001,563.79,335.04
7339,5725.1,2960.411,595.08,335.04
7340,5347.04,3147.0249999999996,614.66,335.04
7341,5020.040000000001,2660.1180000000004,619.45,335.04
7342,5103.94,2051.022,617.4200000000001,335.04
7343,5027.96,1649.859,615.98,335.04
7344,4935.05,1323.647,612.29,335.04
7345,5005.01,974.6370000000001,613.4999999999999,335.04
7346,4938.99,691.6120000000001,613.9,335.04
7347,4897.1,496.42499999999995,613.84,335.04
7348,4932.01,360.50300000000004,616.5,335.04
7349,4706.01,306.571,619.53,335.04
7350,4753.0,492.65099999999995,619.9300000000001,335.04
7351,4705.0199999999995,1352.9370000000001,616.02,335.04
7352,4947.92,2345.9939999999997,600.46,335.04
7353,4915.950000000001,2646.7870000000003,576.32,335.04
7354,5041.959999999999,2319.806,554.76,335.04
7355,5090.07,1891.351,537.69,335.04
7356,5071.02,1710.774,534.41,335.04
7357,5079.959999999999,1777.6619999999998,536.45,335.04
7358,5303.9400000000005,1936.394,538.35,335.04
7359,5269.02,1805.6170000000002,540.77,335.04
7360,5287.010000000001,1648.748,544.62,335.04
7361,5348.92,1825.035,554.3,335.04
7362,5432.01,2358.611,562.74,335.04
7363,5183.02,2919.868,569.34,335.04
7364,4852.08,3092.1609999999996,573.3199999999999,335.04
7365,4708.01,2609.261,575.79,335.04
7366,4747.919999999999,2017.163,581.6600000000001,335.04
7367,4583.049999999999,1630.1259999999997,588.95,335.04
7368,4727.96,1311.494,597.49,335.04
7369,4969.02,967.7039999999998,609.04,335.04
7370,5085.049999999999,690.9269999999999,615.15,335.04
7371,5041.01,496.58799999999997,615.8799999999999,335.04
7372,5008.01,359.611,616.95,335.04
7373,4915.950000000001,297.943,622.4799999999999,335.04
7374,4841.01,449.675,625.95,335.04
7375,4839.99,1186.5279999999998,624.3,335.04
7376,4760.01,2033.3539999999998,617.52,335.04
7377,5035.969999999999,2292.7380000000003,604.74,335.04
7378,5441.96,2073.839,582.2099999999999,335.04
7379,5255.0599999999995,1767.8870000000002,561.45,335.04
7380,4991.07,1712.538,551.27,335.04
7381,5196.0599999999995,1810.36,546.16,335.04
7382,5135.04,1923.2759999999998,550.9999999999999,335.04
7383,5301.02,1782.0729999999999,560.19,335.04
7384,5347.92,1686.118,581.5,335.04
7385,5308.9400000000005,2033.036,609.95,335.04
7386,5320.039999999999,2747.425,625.26,335.04
7387,5143.01,3229.6669999999995,633.8700000000001,335.04
7388,4933.0,3226.9310000000005,643.91,335.04
7389,4932.01,2619.5290000000005,649.3100000000001,335.04
7390,5193.990000000001,2001.2640000000001,648.99,335.04
7391,5150.219999999999,1637.626,646.77,335.04
7392,5238.99,1344.442,647.0999999999999,335.04
7393,5358.04,1178.84,648.02,335.04
7394,5410.969999999999,959.6679999999999,649.3199999999999,335.04
7395,5382.0,671.5129999999999,654.22,335.04
7396,5441.96,485.39,658.56,335.04
7397,5739.99,344.31899999999996,658.22,335.04
7398,5659.0,302.324,665.24,335.04
7399,5923.99,404.673,665.1,335.04
7400,6251.120000000001,669.6479999999999,639.08,335.04
7401,6274.02,1041.2869999999998,597.8800000000001,335.04
